SMILES
C#C
CC(Cl)Cl
CC(CO)(CO)[N+](=O)[O-]
c1cc(sc1)Cl
CCCOC(=O)CC
CC(=C)OC(=O)C
CCCOC=O
Cc1c(cc(cc1[N+](=O)[O-])[N+]([O-])=O)[N+]([O-])=O
CCc1cccc(CC)c1
CC(=CCCC(=O)C)C
CC(C)C(C)(C)CC
CC(C)(CC)CCC
CC(C)(C)CCCC
C=C(C)C(C)(C)C
CC(C)C(CC)CC
CCSCCCC
Cc1ccc(CC)cc1C
CC(CC)(CC)CC
CC(C)CC(C)C(C)C
CC(C)CCCC(C)C
